e	n
CLS	11
Dean's Office	9
Joyce's Office/Academic Advising	8
Registrar	8
Tutorial Program (?)/Tutorial Advising/Tutorial Advising Committee/Worshops for Tutorial Training	5
Still figuring it out/Not clear/Unsure	4
Student Affairs(?)	3
CTLA	3
IGE	2
Faculty	2
Wilson Center	2
Joyce	2
